Race,UseOfForce,Gender,TypeOfArrest,BondAmount,Patrol,Officer,DateTimeOfArrest,SearchConducted,Stopped,Arrest,_SELECTED_CHARGE_1,_SELECTED_CHARGE_2,_SELECTED_CHARGE_3,_SELECTED_CHARGE_4,_SELECTED_CHARGE_5,_SELECTED_CHARGE_6,TimeZone
White,No,Female,Summoned/Cited,46356,D3,Vincent Mcdowell,2024-02-28 23:26:55,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,79562,D3,Lucas Smith,2021-04-20 22:32:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,26834,D1,Michael Gill,2021-07-19 12:08:18,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,77866,D3,Crystal Davis,2021-08-23 09:53:05,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,73649,D3,Brad Hammond,2021-06-09 01:02:19,No,No,TRUE,Robbery,Nan,Driving Under the Influence (DUI),Nan,Burglary,Assault,US/Eastern
Black,Yes,Male,Not listed,70494,D2,Peter Butler,2022-07-17 06:14:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,15648,D1,Daniel Brown,2022-06-12 06:10:07,No,No,TRUE,Drug Possession,Domestic Violence,Forgery,Nan,Domestic Violence,Nan,US/Eastern
White,No,Male,Summoned/Cited,64278,D3,David Randall,2023-11-25 13:35:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Not listed,76413,D2,John Mcgee,2023-03-09 16:52:42,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,96870,D1,Robert Lynch,2024-01-19 16:57:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,40264,D1,Cindy Anderson,2021-10-22 04:29:23,No,No,TRUE,Assault,Burglary,Domestic Violence,Drug Possession,Forgery,Robbery,US/Eastern
Asian,No,Male,Summoned/Cited,91735,D3,Monica Ward,2021-09-30 08:18:59,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,14302,D1,Larry Mitchell,2023-05-01 08:06:29,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,70330,D1,William Sheppard,2023-03-06 22:37:47,No,No,TRUE,Theft,Nan,Driving Under the Influence (DUI),Driving Under the Influence (DUI),Forgery,Forgery,US/Eastern
Black,Yes,Male,Summoned/Cited,14207,D3,Nicole Andrade,2021-05-20 12:21:26,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,6871,D2,Ryan Crosby,2021-06-05 03:31:16,No,No,TRUE,Driving Under the Influence (DUI),Arson,Drug Possession,Theft,Forgery,Fraud,US/Eastern
Asian,No,Male,Summoned/Cited,6559,D1,Elizabeth Carlson,2023-04-06 12:28:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,62663,D1,James Morton,2021-12-20 14:46:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,64344,D1,Cindy Tapia,2023-02-24 06:06:18,No,No,TRUE,Forgery,Domestic Violence,Burglary,Burglary,Nan,Arson,US/Eastern
White,No,Male,Summoned/Cited,72993,D3,Amy Wolf,2021-08-17 04:53:42,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,14728,D3,Douglas Ward,2021-08-29 19:03:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,81895,D2,James Sanchez,2023-09-09 17:20:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,1012,D2,Russell Fox,2022-08-07 19:36:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,28806,D2,Kyle Weaver,2022-04-03 23:34:20,No,No,TRUE,Fraud,Driving Under the Influence (DUI),Domestic Violence,Drug Possession,Nan,Nan,US/Eastern
Hispanic,No,Female,Taken Into Custody,34788,D2,Shelby Browning,2023-06-02 13:29:23,No,No,TRUE,Domestic Violence,Driving Under the Influence (DUI),Burglary,Forgery,Nan,Fraud,US/Eastern
White,No,Male,Summoned/Cited,18911,D2,Eric Gross,2023-01-09 22:45:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,77822,D3,Timothy Johnson,2021-12-06 14:49:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,62924,D1,Vickie Smith,2022-03-15 17:52:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,93559,D3,Samantha Thomas,2024-01-04 07:26:18,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,70859,D3,Andrew Sawyer,2023-01-23 15:31:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,20782,D3,Benjamin Bridges,2023-09-07 16:13:09,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,38722,D2,Virginia Haynes,2023-11-11 19:04:57,No,No,TRUE,Burglary,Nan,Nan,Drug Possession,Driving Under the Influence (DUI),Arson,US/Eastern
Black,Yes,Male,Not listed,36600,D3,Douglas Reid,2024-01-07 22:45:17,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,25943,D2,Ryan Burch,2022-04-04 21:24:25,No,No,TRUE,Drug Possession,Fraud,Burglary,Burglary,Nan,Burglary,US/Eastern
White,No,Female,Taken Into Custody,52547,D3,Melissa Turner,2022-06-18 18:12:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,62516,D1,Deborah Finley,2024-02-27 11:27:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,57193,D3,Hannah Bailey,2023-09-20 10:44:06,No,No,TRUE,Assault,Driving Under the Influence (DUI),Fraud,Drug Possession,Domestic Violence,Robbery,US/Eastern
Hispanic,No,Female,Taken Into Custody,73733,D3,Kristen Johnson,2023-09-29 13:14:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,65820,D1,Hayley Orozco,2022-05-02 04:26:28,No,No,TRUE,Burglary,Drug Possession,Burglary,Driving Under the Influence (DUI),Driving Under the Influence (DUI),Driving Under the Influence (DUI),US/Eastern
Hispanic,No,Male,Not listed,42810,D2,Mrs. Tricia Mckee,2022-08-16 22:00:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,95624,D2,Janice Crawford,2021-09-01 04:15:11,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,13528,D1,Kimberly Beard,2022-09-06 03:42:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,72049,D2,Michael Blackwell,2022-11-26 17:01:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,83394,D3,Mark Lawson,2023-12-11 16:21:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,57228,D3,Monica Pineda,2022-12-09 04:18:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,46027,D2,Charles Gibson,2023-11-05 14:56:43,No,No,TRUE,Robbery,Fraud,Assault,Driving Under the Influence (DUI),Domestic Violence,Robbery,US/Eastern
Hispanic,No,Male,Summoned/Cited,60550,D3,Jonathan Gonzalez,2021-08-16 03:35:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,95177,D1,Jeffrey Nichols,2022-10-19 13:35:36,No,No,TRUE,Drug Possession,Burglary,Domestic Violence,Drug Possession,Theft,Forgery,US/Eastern
Asian,No,Male,Summoned/Cited,43742,D1,Natalie Miller,2023-06-08 17:20:24,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,73911,D1,Michael Burns,2024-02-21 07:43:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,57538,D1,Alan Hoffman,2022-09-28 07:43:28,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,57250,D3,Theresa Sanchez,2022-03-05 06:54:04,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,54425,D2,Kathryn Baker,2024-01-04 03:14:44,No,No,TRUE,Assault,Assault,Robbery,Burglary,Domestic Violence,Drug Possession,US/Eastern
Asian,No,Male,Taken Into Custody,14750,D2,Jeff Hodge,2022-06-01 02:41:59,No,No,TRUE,Nan,Arson,Domestic Violence,Domestic Violence,Burglary,Robbery,US/Eastern
White,No,Male,Taken Into Custody,90705,D2,Nicole Black,2023-06-14 12:49:04,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,36593,D1,Abigail Murray,2021-11-25 22:06:34,No,No,TRUE,Fraud,Drug Possession,Theft,Theft,Forgery,Driving Under the Influence (DUI),US/Eastern
Hispanic,No,Male,Taken Into Custody,40718,D2,Katie Higgins,2021-04-15 09:12:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,56631,D3,Karen Blackburn,2022-04-13 14:31:37,No,No,TRUE,Drug Possession,Domestic Violence,Domestic Violence,Fraud,Drug Possession,Domestic Violence,US/Eastern
Black,Yes,Female,Summoned/Cited,26966,D3,Charles King,2021-10-03 16:16:11,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,75435,D2,Angel Walter,2022-01-12 07:31:17,No,No,TRUE,Forgery,Burglary,Robbery,Fraud,Domestic Violence,Forgery,US/Eastern
Asian,No,Male,Summoned/Cited,18022,D1,Linda Choi,2023-02-21 15:53:24,No,No,TRUE,Robbery,Theft,Domestic Violence,Arson,Nan,Arson,US/Eastern
Hispanic,No,Female,Taken Into Custody,52792,D3,Charlene Carter,2022-12-22 09:59:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,79703,D1,Annette Floyd,2021-04-04 18:19:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,75434,D3,Daniel Floyd,2023-08-23 15:26:55,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,82143,D1,Eric Ochoa,2023-12-12 15:01:20,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,88114,D3,Amanda Vincent,2023-09-02 16:34:32,No,No,TRUE,Arson,Robbery,Burglary,Drug Possession,Theft,Robbery,US/Eastern
White,No,Female,Summoned/Cited,99248,D3,Matthew Gardner,2023-05-10 09:21:14,No,No,TRUE,Assault,Burglary,Domestic Violence,Burglary,Domestic Violence,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Female,Summoned/Cited,46353,D1,Matthew Burke,2023-10-06 20:57:48,No,No,TRUE,Theft,Theft,Assault,Domestic Violence,Domestic Violence,Drug Possession,US/Eastern
White,No,Female,Taken Into Custody,61308,D2,Patrick Hicks,2024-02-27 03:57:12,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,72052,D3,Brian Church,2023-12-30 17:58:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,22641,D3,Devin May,2023-10-15 12:04:47,Yes,No,TRUE,Theft,Drug Possession,Forgery,Drug Possession,Domestic Violence,Fraud,US/Eastern
White,No,Female,Not listed,25262,D1,Amanda Davis,2023-01-06 20:10:47,No,No,TRUE,Assault,Driving Under the Influence (DUI),Assault,Nan,Nan,Arson,US/Eastern
White,No,Male,Taken Into Custody,1201,D1,Tom Brewer,2021-12-22 15:38:39,No,No,TRUE,Forgery,Burglary,Forgery,Fraud,Arson,Arson,US/Eastern
Hispanic,No,Female,Not listed,12901,D1,Brian Ferguson,2022-02-25 13:19:55,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,47345,D1,Mr. Joel Vasquez,2023-10-24 13:55:06,No,No,TRUE,Fraud,Assault,Assault,Arson,Assault,Drug Possession,US/Eastern
Asian,No,Male,Summoned/Cited,45957,D2,Isaiah Patel,2022-04-27 23:52:13,No,No,TRUE,Driving Under the Influence (DUI),Nan,Arson,Burglary,Nan,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Female,Not listed,9138,D3,Mary Bailey,2023-01-31 14:35:20,No,No,TRUE,Forgery,Domestic Violence,Assault,Arson,Driving Under the Influence (DUI),Nan,US/Eastern
Black,Yes,Male,Summoned/Cited,15011,D1,Emma Mcpherson,2022-03-11 23:08:36,No,Yes,TRUE,Burglary,Driving Under the Influence (DUI),Fraud,Driving Under the Influence (DUI),Fraud,Robbery,US/Eastern
Black,Yes,Male,Taken Into Custody,73446,D2,Angela Rodriguez,2021-05-23 06:03:46,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,80481,D2,Mary Ray,2024-02-23 01:44:43,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,25774,D2,Jessica Hanson,2023-05-25 18:16:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,64111,D2,Kristina Harrington,2022-02-12 00:07:00,No,No,TRUE,Burglary,Assault,Arson,Assault,Robbery,Drug Possession,US/Eastern
White,No,Female,Taken Into Custody,41875,D2,Rhonda Jones,2022-02-19 00:59:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,62342,D2,Mrs. Emily Sheppard,2022-02-11 03:41:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,5948,D2,Rebecca Saunders,2022-08-31 08:33:28,No,No,TRUE,Driving Under the Influence (DUI),Assault,Forgery,Theft,Forgery,Driving Under the Influence (DUI),US/Eastern
Asian,No,Male,Taken Into Custody,3024,D1,Gary Barry,2023-09-17 01:06:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,84217,D2,Ian Gonzalez,2024-02-10 14:11:04,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,7202,D1,Krista Wilson,2024-03-06 00:23:08,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,41271,D3,Dr. Shannon Fernandez,2021-10-09 11:25:37,No,No,TRUE,Arson,Nan,Drug Possession,Theft,Nan,Arson,US/Eastern
Asian,No,Female,Taken Into Custody,8450,D1,Ryan Carr,2022-05-04 05:47:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,1889,D3,Stacy Butler,2021-12-23 10:30:13,No,Yes,TRUE,Assault,Assault,Domestic Violence,Driving Under the Influence (DUI),Arson,Forgery,US/Eastern
White,No,Female,Taken Into Custody,2879,D2,William Chavez,2023-03-11 01:29:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,94997,D3,Jennifer Harrison,2023-10-28 08:50:58,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,79869,D2,Monica Lee,2023-05-18 15:18:25,No,No,TRUE,Domestic Violence,Nan,Assault,Domestic Violence,Theft,Domestic Violence,US/Eastern
Asian,No,Female,Taken Into Custody,40027,D3,Michelle Bennett,2021-12-13 11:30:44,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,21896,D1,Colleen Valdez,2023-04-22 21:27:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,43718,D3,Kevin Hernandez,2021-07-27 01:23:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,51598,D2,Justin George,2021-07-09 11:58:43,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Summoned/Cited,61460,D3,Jenna Gonzalez,2021-10-20 09:51:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,71377,D3,Mr. Scott Wilson,2022-12-18 22:33:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,39667,D3,Daniel Williams,2021-10-24 15:09:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,23021,D1,Geoffrey Guerra,2024-02-01 13:21:39,No,No,TRUE,Assault,Theft,Fraud,Theft,Driving Under the Influence (DUI),Burglary,US/Eastern
Black,Yes,Male,Not listed,79451,D1,Rebecca Little,2022-12-08 22:40:32,Yes,No,TRUE,Drug Possession,Nan,Arson,Theft,Burglary,Domestic Violence,US/Eastern
Asian,No,Female,Not listed,33539,D1,Lisa Patterson,2021-04-13 00:10:57,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,56495,D2,Theresa Valencia,2023-10-13 20:44:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,78629,D2,Kyle Johnson,2021-07-29 08:08:49,No,No,TRUE,Arson,Theft,Domestic Violence,Nan,Burglary,Drug Possession,US/Eastern
Asian,No,Female,Summoned/Cited,73834,D3,James Velasquez,2022-10-23 21:55:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,97984,D2,Keith Ruiz,2023-04-19 22:52:27,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,45735,D1,Mary Torres,2024-01-27 19:28:04,No,No,TRUE,Driving Under the Influence (DUI),Drug Possession,Arson,Robbery,Theft,Assault,US/Eastern
White,No,Male,Summoned/Cited,43113,D2,Alexander Gardner,2021-09-11 19:01:49,No,No,TRUE,Domestic Violence,Theft,Driving Under the Influence (DUI),Arson,Robbery,Driving Under the Influence (DUI),US/Eastern
White,No,Male,Not listed,9102,D3,Peter Martinez,2021-06-11 08:34:28,No,No,TRUE,Nan,Robbery,Nan,Burglary,Drug Possession,Drug Possession,US/Eastern
Hispanic,No,Female,Not listed,99523,D3,Jacqueline White,2023-10-01 00:21:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,64579,D2,Anthony Ayala,2023-09-28 14:26:43,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,68222,D2,Jason Gilbert,2023-03-09 00:46:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,26023,D3,Joseph Wells,2024-01-04 19:10:39,No,No,TRUE,Nan,Theft,Burglary,Driving Under the Influence (DUI),Drug Possession,Theft,US/Eastern
White,No,Female,Taken Into Custody,67553,D1,Nicholas Ferguson,2023-06-21 09:52:47,No,No,TRUE,Burglary,Fraud,Fraud,Robbery,Driving Under the Influence (DUI),Fraud,US/Eastern
Asian,No,Female,Summoned/Cited,59806,D1,Barbara Saunders,2022-11-04 00:04:16,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,60872,D2,Kenneth Mccann,2023-11-04 06:08:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,25836,D3,Kelly Kelly,2023-12-11 22:35:50,No,No,TRUE,Domestic Violence,Forgery,Burglary,Theft,Robbery,Robbery,US/Eastern
Hispanic,No,Male,Summoned/Cited,26965,D2,Dustin Williams,2021-05-09 03:00:29,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,29663,D1,Kenneth Chang,2023-11-15 13:23:08,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,33934,D3,Steven Salinas,2023-11-20 08:54:55,No,No,TRUE,Burglary,Arson,Arson,Assault,Drug Possession,Arson,US/Eastern
White,No,Male,Summoned/Cited,89526,D2,Brandi Robbins,2022-07-01 07:47:15,No,No,TRUE,Fraud,Drug Possession,Domestic Violence,Robbery,Driving Under the Influence (DUI),Forgery,US/Eastern
Hispanic,No,Female,Not listed,54026,D2,Mark Evans,2021-05-09 20:47:12,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,69835,D3,Donald Fletcher,2023-07-22 02:18:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,70670,D3,Mr. Ronald Haynes,2021-11-05 19:55:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,25644,D1,Marvin Obrien,2021-09-06 17:51:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,58362,D1,Daniel Blair,2022-10-09 15:42:24,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,81055,D2,Nathan Reed,2021-04-07 14:02:24,No,No,TRUE,Fraud,Burglary,Nan,Forgery,Assault,Domestic Violence,US/Eastern
Asian,No,Female,Taken Into Custody,30850,D1,Travis Garcia,2022-12-29 19:42:37,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Taken Into Custody,58085,D3,Daniel Blackwell,2021-04-11 10:52:05,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,35064,D3,Christopher Smith,2024-03-18 02:39:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,34653,D2,Carla Glass,2021-11-02 09:51:47,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,78850,D3,Edward Greene,2023-12-29 14:06:01,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,49748,D2,Denise Jones,2021-12-26 23:43:27,No,No,TRUE,Fraud,Nan,Theft,Burglary,Theft,Theft,US/Eastern
White,No,Male,Not listed,14968,D1,Daniel Hensley,2021-03-26 03:49:46,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,52465,D3,Crystal Smith,2023-07-21 14:17:17,No,No,TRUE,Nan,Arson,Robbery,Forgery,Drug Possession,Assault,US/Eastern
